97.95,0,0,0,0,2.05,0,0
0,100,0,0,0,0,0,0
0.59,0,98.82,0,0,0,0.59,0
0,0,0,99.25,0,0,0.75,0
0,1.1,0,0,98.9,0,0,0
0,0,0,0.74,0,99.26,0,0
0.86,0,0,0.86,0.86,0,97.41,0
0,0,0,0.56,0,0,0,99.44
